Latitude,Longitude,Type
-29.871382,143.83516,3
-29.43799,143.404453,3
-31.354029,143.948504,3
-31.179642,144.107186,3
-31.082621,144.243199,3
-30.985501,144.379212,3
-30.888282,144.469887,3
-30.790964,144.560562,3
-30.674053,144.78725,3
-28.667695,149.730213,3
-28.651084,149.550373,3
-28.742413,149.39893,3
-28.841954,149.238021,3
-28.667695,149.701817,3
-28.651084,149.957378,3
-28.601235,150.108822,3
-28.626162,150.269731,3
-28.667695,150.373848,3
-28.709212,150.544222,3
-28.725814,150.705131,3
-28.750712,150.837644,3
-28.792195,150.97489,3
-28.866824,151.050612,3
-28.914476,151.116868,3
-28.95333,151.216833,3
-29.039544,151.209251,3
-29.13231,151.254744,3
-29.218374,151.300238,3
-29.218374,151.398808,3
-29.172041,151.482214,3
-29.05943,151.550454,3
-28.973232,151.641442,3
-28.966598,151.846164,3
-28.913515,152.073633,3
-28.820552,152.179786,3
-28.660996,152.160782,3
-28.565346,152.178941,3
-28.501532,152.296977,3
-28.445663,152.401393,3
-28.373787,152.496729,3
-28.289871,152.492189,3
-28.35832,152.617643,3
-28.434757,152.699745,3
-28.417994,152.833176,3
-28.585508,152.820468,3
-28.4962,152.629852,3
-28.886361,152.483713,3
-29.025351,152.242266,3
-32.183072,151.799228,3
-32.134762,151.917162,3
-32.108987,152.046509,3
-32.112209,152.114987,3
-32.0071,152.120227,3
-31.928535,152.230645,3
-31.66889,152.240572,3
-31.56594,152.154938,3
-31.415602,152.240572,3
-31.239184,152.386652,3
-31.084009,152.386652,3
-31.178868,152.069305,3
-30.964962,151.601368,3
-30.674959,151.213022,3
-30.849066,150.774023,3
-31.152993,150.503869,3
-31.41273,150.132408,3
-31.196333,151.061061,3
-31.080718,152.175444,3
-31.757929,151.753329,3
-30.849066,151.770214,3
-30.398647,152.226098,3
-31.733728,150.216695,3
-31.511607,150.590348,3
-32.474247,151.351755,3
-32.23074,151.564369,3
-32.223112,151.684592,3
-32.206584,151.740195,3
-32.173517,151.89949,3
-32.162068,152.001679,3
-32.144256,152.174499,3
-32.22057,152.109879,3
-32.3019,151.923534,3
-32.24218,152.037746,3
-29.574134,141.350439,3
-31.119332,141.142157,3
-29.36589,141.48214,3
-33.189009,141.273064,3
-32.359446,141.119286,3
-33.548344,141.624719,3
-33.988706,141.264307,3
-32.207054,141.663415,3
-32.561018,142.045521,3
-33.622549,141.94548,3
-33.571436,142.199197,3
-33.668989,142.586358,3
-33.934028,142.477453,3
-34.079111,142.599256,3
-33.162281,142.529,3
-32.220386,141.622003,3
-29.97784,141.798345,3
-29.893742,141.481979,3
-29.7572,141.997035,3
-29.050168,142.060686,3
-29.668585,142.602704,3
-30.251442,143.560148,3
-31.991432,143.21441,3
-32.298273,142.969626,3
-32.870839,142.419649,3
-31.917931,142.809494,3
-33.67787,142.233919,3
-33.837856,142.091277,3
-33.705333,142.339467,3
-33.716542,142.335448,3
-33.573551,142.14769,3
-33.29856,142.018512,3
-33.246735,141.956915,3
-32.003954,144.776672,3
-29.975021,144.587339,3
-29.292402,146.414172,3
-29.116876,148.620725,3
-28.620891,150.224393,3
-28.59057,149.518597,3
-28.687135,150.603587,3
-28.791194,149.867585,3
-29.306421,149.018309,3
-29.465605,148.754078,3
-29.466841,148.836786,3
-29.641811,148.897808,3
-29.740203,149.472734,3
-30.008503,149.528921,3
-30.047011,149.536011,3
-30.115034,149.39783,3
-30.064541,149.345587,3
-30.836316,148.413038,3
-31.028437,148.496712,3
-31.079789,148.502458,3
-31.142908,148.587104,3
-31.358478,148.658359,3
-31.632077,148.838794,3
-32.68435,148.197117,3
-32.827732,148.263115,3
-33.493867,147.370607,3
-33.545992,147.440635,3
-35.248594,146.164704,3
-35.333597,146.215524,3
-35.40632,146.350256,3
-35.957749,147.055567,3
-36.317781,148.627252,3
-35.969757,148.636505,3
-36.046767,148.715162,3
-36.101003,148.725847,3
-36.127271,148.806547,3
-36.189614,148.787366,3
-36.264303,148.892725,3
