latitude,longitude,Amenity
-33.9206704,151.2563611,Fast food
-33.9203298,151.2540514,Fast food
-33.9207922,151.2557106,Fast food
-33.9207825,151.2556531,Fast food
-33.9206321,151.2545853,Fast food
-33.9334036,151.2379537,Fast food
-33.9428002,151.2399821,Fast food
-33.94189552,151.2389594,Fast food
-33.93984972,151.229051,Fast food
-33.8842843,151.1941485,Fast food
-33.8835202,151.1938311,Fast food
-33.8858705,151.157483,Fast food
-33.892998,151.1842418,Fast food
-33.8941,151.182996,Fast food
-33.8941571,151.1825524,Fast food
-33.897954,151.177356,Fast food
-33.8963407,151.1798485,Fast food
-33.8937945,151.1829328,Fast food
-33.8949813,151.1824143,Fast food
-33.8990785,151.1726043,Fast food
-33.8991006,151.1725027,Fast food
-33.8949898,151.1817784,Fast food
-33.8948214,151.1819551,Fast food
-33.8950598,151.1821051,Fast food
-33.9000048,151.1851787,Fast food
-33.8993339,151.1829674,Fast food
-33.9264014,151.1592655,Fast food
-33.9203224,151.1676865,Fast food
-33.91467414,151.1774806,Fast food
-33.91432121,151.1779825,Fast food
-33.8846316,151.136293,Fast food
-33.8501667,151.1534665,Fast food
-33.8882099,151.1720332,Fast food
-33.8948205,151.1641787,Fast food
-33.8929669,151.164303,Fast food
-33.8887403,151.1713634,Fast food
-33.8968106,151.1515861,Fast food
-33.8966467,151.1520066,Fast food
-33.8868301,151.1771825,Fast food
-33.8406829,151.207325,Fast food
-33.8389318,151.2073795,Fast food
-33.8388284,151.2076834,Fast food
-33.839148,151.2081029,Fast food
-33.8469967,151.2130403,Fast food
-33.8459245,151.2128471,Fast food
-33.8456119,151.2127731,Fast food
-33.8108736,151.2114523,Fast food
-33.8092718,151.1851365,Fast food
-33.8084576,151.1839688,Fast food
-33.8089275,151.184656,Fast food
-33.8250187,151.2010783,Fast food
-33.8224303,151.1944665,Fast food
-33.8237829,151.1945694,Fast food
-33.831661,151.1861724,Fast food
-33.823785,151.1938638,Fast food
-33.8223257,151.1944515,Fast food
-33.8133109,151.1701579,Fast food
-33.81092296,151.1759136,Fast food
-33.81415779,151.1694374,Fast food
-33.7965992,151.1841737,Fast food
-33.7963735,151.1806539,Fast food
-33.7959451,151.1835293,Fast food
-33.7988828,151.1797798,Fast food
-33.7975438,151.1809693,Fast food
-33.7966319,151.1840168,Fast food
-33.7964457,151.1840089,Fast food
-33.7964681,151.1841331,Fast food
-33.7965661,151.1841674,Fast food
-33.7965929,151.1842191,Fast food
-33.7965648,151.1839846,Fast food
-33.7965262,151.1841604,Fast food
-33.7950183,151.1881159,Fast food
-33.7951328,151.18808,Fast food
-33.7973451,151.1809504,Fast food
-33.7947768,151.1860416,Fast food
-33.7950146,151.186154,Fast food
-33.7951937,151.188213,Fast food
-33.7950188,151.1865178,Fast food
-33.7940894,151.1864076,Fast food
-33.7970251,151.184309,Fast food
-33.7970262,151.1842153,Fast food
-33.7970478,151.1842864,Fast food
-33.794656,151.1865056,Fast food
-33.79586717,151.1841064,Fast food
-33.79687543,151.181287,Fast food
-33.79674461,151.1809657,Fast food
-33.79750864,151.1813603,Fast food
-33.79740288,151.1813459,Fast food
-33.79690903,151.1810627,Fast food
-33.7962636,151.1810299,Fast food
-33.79611455,151.1810169,Fast food
-33.79647393,151.1811472,Fast food
-33.7930305,151.1956242,Fast food
-33.7763294,151.1685778,Fast food
-33.7552455,151.1527652,Fast food
-33.7562107,151.1536529,Fast food
-33.745179,151.1425754,Fast food
-33.7608148,151.1282403,Fast food
-33.7330591,151.1304858,Fast food
-33.7490073,151.1120473,Fast food
-33.7295337,151.1588156,Fast food
-33.7298197,151.1616998,Fast food
-33.7298365,151.1616638,Fast food
-33.7297165,151.1618268,Fast food
-33.7184679,151.1173001,Fast food
