,Site Address,Postcodes,Applicant,Charging_bays,Charger_capacities,lat,lng
50,"Watson St, Molong NSW 2866, Australia",2866,NRMA,4,Two chargers will be provided to service four bays concurrently. Two charging bays will be rated at 175kW per bay (+/- 20%). Two charging bays will be rated at a minimum of 350kW per bay (+/-15%). ,-33.0962463,148.8703135
51,"1 Munster St, Port Macquarie NSW 2444, Australia",2444,NRMA,4,Two chargers will be provided to service four bays concurrently. Two charging bays will be rated at 175kW per bay (+/- 20%). Two charging bays will be rated at a minimum of 350kW per bay (+/-15%). ,-31.4275162,152.9105133
52,"121 Crawford St, Queanbeyan NSW 2620, Australia",2620,NRMA,4,Two chargers will be provided to service four bays concurrently. Two charging bays will be rated at 175kW per bay (+/- 20%). Two charging bays will be rated at a minimum of 350kW per bay (+/-15%). ,-35.3492798,149.23065
53,"43 Tweed Coast Rd, Bogangar NSW 2488, Australia",2488,NRMA,4,Two chargers will be provided to service four bays concurrently. Two charging bays will be rated at 175kW per bay (+/- 20%). Two charging bays will be rated at a minimum of 350kW per bay (+/-15%). ,-28.3320249,153.5691562
54,"525 David St, Albury NSW 2640, Australia",2640,"Tesla Motors Australia, Pty Ltd",15,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-36.0801872,146.9192527
55,"49-59 O'Riordan St, Alexandria NSW 2015, Australia",2015,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-33.9141611,151.1948556
56,"Jessie St, Armidale NSW 2350, Australia",2350,"Tesla Motors Australia, Pty Ltd",4,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-30.51297852,151.6635439
57,"265 Parramatta Rd, Auburn NSW 2144, Australia",2144,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-33.8377201,151.0280802
58,"84 Kerr St, Ballina NSW 2478, Australia",2478,"Tesla Motors Australia, Pty Ltd",12,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-28.8596965,153.5591493
59,"1 Perry St, Batemans Bay NSW 2536, Australia",2536,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-35.7073463,150.175802
60,"176 Auckland St, Bega NSW 2550, Australia",2550,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-36.6779701,149.8404382
61,"Blue Gum Rd, Jesmond NSW 2299, Australia",2299,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-32.8980296,151.6918902
62,"5 Charlton St, Woy Woy NSW 2256, Australia",2256,"Tesla Motors Australia, Pty Ltd",12,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-33.4884791,151.3226386
63,"71 Spring St, Bondi Junction NSW 2022, Australia",2022,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-33.8925239,151.2478264
64,"1 Art Gallery Rd, Campbelltown NSW 2560, Australia",2560,"Tesla Motors Australia, Pty Ltd",9,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-34.07280739,150.8091418
65,"345 Victoria Ave, Chatswood NSW 2067, Australia",2067,"Tesla Motors Australia, Pty Ltd",9,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-33.7945647,151.18613
66,"211 Pacific Hwy, Coffs Harbour NSW 2450, Australia",2450,"Tesla Motors Australia, Pty Ltd",15,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-30.30829002,153.1019758
67,"19 Princes Hwy, Figtree NSW 2525, Australia",2525,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-34.4366153,150.8632982
68,"1 Bay St, Jindabyne NSW 2627, Australia",2627,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-36.4223723,148.6287558
69,"Hope St, Blaxland NSW 2774, Australia",2774,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-33.7452292,150.6101288
70,"15666 Hume Hwy, Marulan NSW 2579, Australia",2579,"Tesla Motors Australia, Pty Ltd",15,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-34.7193791,149.9951914
71,"1 Jondaryan Ave, Griffith NSW 2680, Australia",2680,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-34.2891433,146.050738
72,"407 Moppett St, Hay NSW 2711, Australia",2711,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-34.5083374,144.842864
73,"279 Condamine St, Manly Vale NSW 2093, Australia",2093,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-33.7857715,151.2664574
74,"2 Central Ave, Eveleigh NSW 2015, Australia",2015,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-33.89558829,151.1957595
75,"72-78 Brook St, Muswellbrook NSW 2333, Australia",2333,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-32.2632046,150.8908563
76,"103 Tibbereena St, Narrabri NSW 2390, Australia",2390,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-30.3237194,149.7807558
77,"74 Benjamin Lee Dr, Raymond Terrace NSW 2324, Australia",2324,"Tesla Motors Australia, Pty Ltd",15,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-32.7608565,151.7750902
78,"260 Peisley St, Orange NSW 2800, Australia",2800,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-33.28036642,149.1045685
79,"Peak Hill Rd, Parkes NSW 2870, Australia",2870,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-33.1208795,148.1745229
80,"North Ter, Bankstown NSW 2200, Australia",2200,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-33.9172635,151.0388392
81,"249 Sheridan St, Gundagai NSW 2722, Australia",2722,"Tesla Motors Australia, Pty Ltd",12,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-35.0628786,148.1018724
82,"46 Wynter St, Taree NSW 2430, Australia",2430,"Tesla Motors Australia, Pty Ltd",12,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-31.9091286,152.4602752
83,"162 Rouse St, Tenterfield NSW 2372, Australia",2372,"Tesla Motors Australia, Pty Ltd",4,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-29.0565237,152.0181884
84,"Wagga Wagga, NSW, 2650",2650,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-35.13038031,147.341831
85,"68 Lead St, Yass NSW 2582, Australia",2582,"Tesla Motors Australia, Pty Ltd",12,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",-34.8436517,148.9141404
86,"218 Katoomba St, Katoomba NSW 2780, Australia",2780,Zeus Renewables Pty Ltd,4,"EVSE constructed at the site will consist of two Tritium chargers, one 350kW PK350 and one 150kW PKM150. Each charger has two bays.",-33.7177144,150.3112842
