Charging location,Number of plugs,Number of plugs in 2023,Number of plugs in 2026,Number of plugs in 2031,Zone substation installed capacity in 2023 (MVA),Zone substation available capacity in 2023 (MVA),Zone (km),Type,Latitude,Longitude,Time
"Ivanhoe, NSW",4,4,4,4,1,-0.1,20km,Journey enablement,-32.9001224,144.3005299,1/01/2024
"Hillston, NSW",4,4,4,4,16,2.7,20km,Journey enablement,-33.48682563,145.5327784,1/01/2024
"Condobolin, NSW",4,4,4,4,10,1.5,20km,Journey enablement,-33.08801497,147.1521962,1/01/2024
"Jerilderie, NSW",4,4,4,8,10,6.3,20km,Journey enablement,-35.35527235,145.723215,1/01/2024
"Balranald, NSW",4,4,4,4,10,6.1,20km,Journey enablement,-34.64220389,143.5671508,1/01/2024
"Coonamble, NSW",4,4,4,4,10,3.8,20km,Journey enablement,-30.95759161,148.3884464,1/01/2024
"Dunedoo, NSW",4,4,4,4,10,4.5,20km,Journey enablement,-32.01615914,149.3979499,1/01/2024
"Inverell, NSW",4,4,4,15,30,7.9,20km,Journey enablement,-29.77427023,151.1109517,1/01/2024
"Barraba, NSW",4,4,4,4,5,2.4,20km,Journey enablement,-30.38247195,150.6096493,1/01/2024
"Temora, NSW",4,4,4,15,10,1.9,20km,Journey enablement,-34.44663402,147.5342991,1/01/2024
"Gundagai, NSW",4,4,4,16,8,1.8,20km,Journey enablement,-35.06151192,148.101348,1/01/2024
"Maclean, NSW",4,4,4,23,16,7,20km,Journey enablement,-29.46060498,153.2017825,1/01/2024
"Molong, NSW",4,4,4,7,4,-0.5,20km,Journey enablement,-33.09428677,148.8656758,1/01/2024
"Hermidale, NSW",4,4,4,4,10,1.1,20km,Journey enablement,-31.54825577,146.7243633,1/01/2024
"Emmdale, NSW",4,4,4,4,5,4.1,20km,Journey enablement,-31.65323367,144.2682742,1/01/2024
"Bilpin, NSW",4,4,4,4,15,0.68,20km,Journey enablement,-33.4979667,150.5213474,1/01/2024
"Little Topar, NSW",4,4,4,4,1.5,0.2,20km,Journey enablement,-31.7798724,142.2273978,1/01/2024
"Coolabah ,NSW",4,4,4,4,10,1.1,20km,Journey enablement,-31.0252105,146.7134536,1/01/2024
"Burren junction, NSW",4,4,4,4,5,2.9,20km,Journey enablement,-30.10402248,148.9687545,1/01/2024
"Goolgowi, NSW",4,4,4,4,16,2.7,20km,Journey enablement,-33.98007672,145.7078232,1/01/2024
"Lockhart, NSW",4,4,4,4,5,1.5,20km,Journey enablement,-35.22331375,146.7143683,1/01/2024
"Maude, NSW",4,4,4,4,30,16.8,20km,Journey enablement,-34.63309776,144.2898553,1/01/2024
"Henty, NSW",4,4,4,4,5,2.1,20km,Journey enablement,-35.51881128,147.035332,1/01/2024
"Holbrook, NSW",4,4,4,4,7,3.3,20km,Journey enablement,-35.71994885,147.316589,1/01/2024
"Deniliquin, NSW",4,4,4,4,30,6.8,20km,Journey enablement,-35.52758055,144.9648168,1/01/2024
Brewarrina NSW,4,4,4,4,8,5.3,20km,Journey enablement,-29.95976876,146.8548786,1/01/2024
"Collarenebri, NSW",4,4,4,4,5,2.3,20km,Journey enablement,-29.54576302,148.5766712,1/01/2024
"Ulladulla, NSW",4,4,4,4,30,4.91,20km,Journey enablement,-35.3579322,150.4740188,1/01/2024
"Narooma, NSW",4,4,4,4,12.5,5.6,20km,Journey enablement,-36.22224959,150.1274296,1/01/2024
"Bingara, NSW",4,4,4,4,3,0.4,20km,Journey enablement,-29.86676821,150.5711728,1/01/2024
"Euston, NSW",4,4,4,4,10,3.4,20km,Journey enablement,-34.57492649,142.7426138,1/01/2024
"Bathurst, NSW",5,4,13,59,115,47.8,10km,Major towns,-33.41196467,149.577495,1/01/2024
"Mudgee, NSW",4,4,9,39,30,1.1,10km,Major towns,-32.5960278,149.5826128,1/01/2024
"Orange, NSW",5,4,9,43,85,23.1,10km,Major towns,-33.27501442,149.0871633,1/01/2024
"Cobar, NSW",4,4,4,6,11,3.9,10km,Major towns,-31.49923264,145.8698973,1/01/2024
"Dubbo, NSW",6,4,19,89,138,48.8,10km,Major towns,-32.24685062,148.593704,1/01/2024
"Branxton, NSW",4,4,5,16,91.29,30.15,10km,Major towns,-32.65890452,151.3520237,1/01/2024
"Nelson Bay Peninsula, NSW",4,4,6,25,45.73,19.22,10km,Major towns,-32.71649559,152.1569676,1/01/2024
"Woodville, NSW",4,4,4,10,38.11,27.58,10km,Major towns,-32.67507971,151.6125853,1/01/2024
"Singleton, NSW",4,4,10,46,60.97,18.98,10km,Major towns,-32.55558784,151.1633237,1/01/2024
"Taree, NSW",4,4,8,30,45,14.8,10km,Major towns,-31.91235582,152.4625882,1/01/2024
"Williamtown, NSW",4,4,5,18,24.75,18.34,10km,Major towns,-32.81669587,151.8425142,1/01/2024
"Kiama, NSW",4,4,7,30,25,11.18,10km,Major towns,-34.66724838,150.849675,1/01/2024
"Armidale, NSW",5,4,13,65,28.5,6,10km,Major towns,-30.52284634,151.6569822,1/01/2024
