station_id,road_name,suburb,cardinal_direction_name,classification_type,year,period,traffic_count,wgs84_latitude,wgs84_longitude,Heavy traffic 2021
BLNSTC,Sturt Highway,Balranald,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2017,ALL DAYS,543,-34.674763,143.572067,565
BNMSTC,New England Highway,Bendemeer,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2017,ALL DAYS,842,-30.896273,151.154327,876
BRGSTC,Hume Motorway,Bargo,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2017,ALL DAYS,6894,-34.309757,150.60141,7174
CBBSTC,Newell Highway,Tannabar,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2017,ALL DAYS,944,-31.31538,149.303513,982
COBAR,Kidman Way,Cobar,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2011,ALL DAYS,98,-31.400272,145.874161,108
DNDSTC,New England Highway,Dundee,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2017,ALL DAYS,505,-29.568588,151.865753,526
F3FWY001,Pacific Motorway,North Wahroonga,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2017,ALL DAYS,11596,-33.694206,151.121323,12067
F3FWY002,Pacific Motorway,Mount Kuring-Gai,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2017,ALL DAYS,12712,-33.651676,151.137741,13228
F3FWY003,Pacific Motorway,Cowan,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2017,ALL DAYS,11558,-33.560299,151.192551,12027
F3FWY004,Pacific Motorway,Bar Point,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2017,ALL DAYS,11967,-33.496265,151.187408,12453
F3FWY005,Pacific Motorway,Calga,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2011,ALL DAYS,7740,-33.429348,151.22467,8550
F3FWY006,Pacific Motorway,Somersby,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2017,ALL DAYS,10205,-33.395744,151.297058,10619
GNDSTC,Hume Highway,Gundagai,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2017,ALL DAYS,3570,-35.007648,148.111343,3715
HEXBUCHW-PR,Hunter Expressway,Buchanan,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2017,ALL DAYS,3415,-32.835659,151.538528,3554
HHW005,Hume Highway,Bookham,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2017,ALL DAYS,3526,-34.786289,148.703384,3669
HHW006,Hume Highway,Manton,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2017,ALL DAYS,3470,-34.836449,149.007996,3611
HWDSTC,Pacific Highway,Maclean,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2017,ALL DAYS,3119,-29.434345,153.240707,3246
JRDSTC,Newell Highway,Jerilderie,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2017,ALL DAYS,839,-35.350632,145.755707,873
MOHVCS,Mount Ousley Road Hvcs,Mount Keira,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2017,ALL DAYS,7601,-34.390652,150.858108,7910
MRDSTC,Newell Highway,Caragabal,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2017,ALL DAYS,821,-33.759418,147.523041,854
MUB001,Melbourne Street,Mulwala,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2017,ALL DAYS,470,-36.003071,146.003235,489
NNDSTC,Sturt Highway,Euroley,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2017,ALL DAYS,452,-34.696266,146.341217,470
NNGSTC,Mitchell Highway,Nyngan,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2017,ALL DAYS,308,-31.568691,147.209168,321
PHSTC,Pacific Highway,Jones Island,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2017,ALL DAYS,3332,-31.860619,152.600388,3467
PICTON,Picton Road,Cataract,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2012,ALL DAYS,1899,-34.375683,150.832565,2077
RD001,Princes Highway,Croom,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2016,ALL DAYS,3206,-34.589237,150.844559,3370
RD002,Shellharbour Road,Flinders,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2016,ALL DAYS,1578,-34.589016,150.845856,1658
RLXT001,Black Stump Way,Coolah,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2011,ALL DAYS,105,-31.583057,149.766907,116
SHB,Bradfield Highway,Milsons Point,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2016,ALL DAYS,10529,-33.852295,151.210846,11066
T0085,Galston Road,Hornsby Heights,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2017,ALL DAYS,319,-33.665455,151.090271,332
T0145,Newell Highway,Boggabilla,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2017,ALL DAYS,1361,-28.566883,150.321152,1416
T0146,Newell Highway,Boggabilla,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2017,ALL DAYS,1361,-28.566883,150.321152,1416
T0233,Newell Highway,Jerilderie,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2017,ALL DAYS,832,-35.350391,145.756058,866
T0234,Sturt Highway,Balranald,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2017,ALL DAYS,541,-34.6745,143.571899,563
T0236,Barrier Highway,Broken Hill,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2017,ALL DAYS,171,-31.919863,141.53447,178
T0242,Mitchell Highway,Nyngan,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2017,ALL DAYS,295,-31.568602,147.209,307
T0245,Newell Highway,Tannabar,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2017,ALL DAYS,946,-31.315237,149.30307,984
T0251,Newell Highway,Tomingley,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2017,ALL DAYS,940,-32.577614,148.222031,978
T0253,Newell Highway,Caragabal,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2017,ALL DAYS,822,-33.760098,147.522415,855
T0254,Sturt Highway,Euroley,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2017,ALL DAYS,437,-34.69595,146.340912,455
T0257,New England Highway,Bendemeer,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2017,ALL DAYS,898,-30.895912,151.154572,934
T0259,New England Highway,Dundee,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2017,ALL DAYS,537,-29.56786,151.865753,559
T0260,Summerland Way,Casino,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2017,ALL DAYS,515,-28.88661,153.046005,536
T0261,Summerland Way,Casino,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2017,ALL DAYS,514,-28.886017,153.0457,535
T0264,Pacific Highway,Maclean,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2017,ALL DAYS,3418,-29.434433,153.240707,3557
T0274-PR,Hume Highway,Marulan,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2017,ALL DAYS,1349,-34.704567,150.014954,1404
T0298,Great Western Highway Hvcs,Blackheath,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2017,ALL DAYS,1591,-33.617626,150.274033,1656
T0337,Galston Road,Galston,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2017,ALL DAYS,326,-33.654926,151.060974,339
T0342,Galston Road,Galston,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2017,ALL DAYS,347,-33.65556,151.063828,361
T0345,Galston Road,Hornsby,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2017,ALL DAYS,801,-33.689632,151.097748,834
T0384,Bells Line Of Road,Bell,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2017,ALL DAYS,505,-33.511532,150.284225,526
T0479-PR,Pacific Motorway,Mount White,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2017,ALL DAYS,4668,-33.454525,151.206726,4858
T0492,Remembrance Driveway,Bargo,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2017,ALL DAYS,470,-34.313366,150.586014,489
T0493,Avon Dam Road,Bargo,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2017,ALL DAYS,586,-34.308601,150.599533,610
T0497,Newell Highway,Biddon,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2017,ALL DAYS,729,-31.616983,148.746139,759
T0498,Newell Highway,Coonabarabran,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2017,ALL DAYS,708,-31.236635,149.31575,737
THSTC,Pacific Motorway,Chinderah,EASTBOUND AND WESTBOUND,HEAVY VEHICLES,2017,ALL DAYS,4959,-28.245531,153.546005,5160
TMGSTC,Newell Highway,Tomingley,NORTHBOUND AND SOUTHBOUND,HEAVY VEHICLES,2017,ALL DAYS,962,-32.57792282,148.2220154,1001
